sex,zodiac,sexfreq,sexsex5
female,virgo,once a month,exclusively male
female,cancer,2-3 times a month,exclusively male
female,capricorn,once a month,exclusively male
female,cancer,once or twice,exclusively male
female,virgo,not at all,IAP
male,virgo,weekly,exclusively female
female,sagittarius,not at all,IAP
male,cancer,not at all,IAP
male,pisces,not at all,IAP
female,scorpio,4+ per week,exclusively male
male,pisces,not at all,IAP
male,cancer,not at all,IAP
female,aquarius,2-3 times a month,exclusively male
male,leo,not at all,IAP
male,libra,weekly,exclusively female
male,leo,not at all,exclusively female
male,aquarius,not at all,IAP
female,scorpio,not at all,IAP
male,scorpio,not at all,IAP
male,virgo,2-3 per week,exclusively female
female,scorpio,not at all,IAP
female,pisces,not at all,IAP
male,gemini,4+ per week,exclusively female
female,gemini,not at all,IAP
female,taurus,not at all,IAP
female,capricorn,not at all,IAP
male,capricorn,not at all,IAP
male,pisces,weekly,exclusively female
male,libra,not at all,IAP
female,sagittarius,not at all,IAP
female,virgo,not at all,IAP
male,gemini,not at all,IAP
female,gemini,not at all,IAP
female,libra,not at all,IAP
male,aquarius,not at all,IAP
female,virgo,not at all,IAP
female,virgo,weekly,exclusively male
female,leo,not at all,IAP
male,libra,once or twice,exclusively female
male,capricorn,not at all,IAP
male,libra,not at all,IAP
male,sagittarius,not at all,IAP
male,leo,not at all,IAP
male,capricorn,not at all,IAP
female,pisces,not at all,IAP
female,aquarius,not at all,IAP
male,virgo,not at all,IAP
male,libra,not at all,IAP
male,pisces,not at all,IAP
female,aquarius,once a month,exclusively male
male,cancer,not at all,IAP
male,gemini,not at all,IAP
male,aries,not at all,IAP
male,scorpio,not at all,IAP
female,capricorn,not at all,IAP
female,cancer,not at all,IAP
female,libra,not at all,IAP
male,gemini,not at all,IAP
male,pisces,not at all,IAP
female,aquarius,not at all,IAP
male,pisces,not at all,IAP
male,sagittarius,not at all,IAP
male,libra,not at all,IAP
female,virgo,not at all,IAP
female,virgo,2-3 per week,exclusively male
female,aquarius,not at all,IAP
female,libra,once a month,exclusively male
male,leo,not at all,IAP
female,sagittarius,not at all,IAP
female,leo,not at all,IAP
female,leo,not at all,IAP
male,aquarius,not at all,IAP
male,aquarius,not at all,IAP
male,aries,once or twice,exclusively female
male,sagittarius,weekly,exclusively female
female,aquarius,not at all,IAP
female,leo,2-3 per week,exclusively male
male,taurus,not at all,IAP
female,libra,once or twice,exclusively male
male,aquarius,2-3 per week,exclusively female
male,aries,weekly,exclusively female
male,leo,2-3 times a month,exclusively female
male,taurus,not at all,IAP
male,leo,not at all,IAP
male,libra,weekly,exclusively female
male,libra,2-3 per week,exclusively female
male,pisces,not at all,exclusively female
male,taurus,not at all,IAP
female,aquarius,2-3 times a month,NA
female,gemini,not at all,IAP
male,taurus,once a month,exclusively female
female,capricorn,not at all,IAP
male,pisces,not at all,IAP
male,libra,2-3 per week,exclusively female
male,leo,not at all,IAP
male,aries,2-3 per week,exclusively female
female,capricorn,2-3 per week,exclusively male
male,NA,once a month,exclusively female
female,gemini,not at all,exclusively male
male,leo,2-3 per week,exclusively female
female,gemini,not at all,IAP
male,aries,once a month,exclusively female
female,libra,2-3 times a month,exclusively male
female,taurus,once or twice,exclusively male
female,taurus,not at all,IAP
male,taurus,once a month,exclusively female
male,aquarius,2-3 times a month,exclusively female
male,sagittarius,not at all,IAP
female,aquarius,2-3 per week,exclusively male
female,scorpio,not at all,NA
male,gemini,not at all,IAP
female,scorpio,not at all,IAP
male,leo,once a month,exclusively female
female,leo,2-3 times a month,exclusively male
female,aquarius,not at all,IAP
male,capricorn,weekly,exclusively female
female,libra,weekly,exclusively male
male,pisces,not at all,IAP
female,leo,not at all,IAP
male,taurus,2-3 per week,exclusively female
female,aries,once or twice,exclusively male
male,leo,not at all,IAP
female,pisces,not at all,IAP
female,gemini,not at all,IAP
male,gemini,not at all,IAP
female,taurus,not at all,IAP
male,sagittarius,weekly,exclusively female
male,cancer,not at all,IAP
female,taurus,not at all,IAP
male,taurus,not at all,IAP
female,capricorn,not at all,IAP
female,capricorn,not at all,IAP
male,pisces,2-3 times a month,exclusively female
male,sagittarius,weekly,exclusively female
female,aries,2-3 per week,exclusively male
male,virgo,once a month,exclusively female
male,sagittarius,not at all,IAP
male,taurus,2-3 times a month,exclusively male
female,virgo,not at all,IAP
female,capricorn,once a month,exclusively male
female,aries,not at all,IAP
female,pisces,not at all,IAP
female,libra,weekly,exclusively male
female,leo,2-3 per week,exclusively male
female,taurus,once or twice,exclusively male
male,sagittarius,2-3 per week,exclusively female
female,taurus,once or twice,exclusively male
male,aries,2-3 times a month,exclusively female
female,aquarius,not at all,IAP
female,libra,not at all,IAP
female,pisces,2-3 per week,exclusively male
female,aquarius,not at all,IAP
female,pisces,not at all,IAP
male,leo,once or twice,exclusively female
female,sagittarius,not at all,IAP
female,sagittarius,not at all,IAP
female,leo,not at all,IAP
female,aquarius,not at all,exclusively male
female,capricorn,not at all,exclusively male
female,capricorn,DK,exclusively male
female,cancer,not at all,IAP
female,scorpio,weekly,exclusively male
female,NA,not at all,IAP
female,virgo,2-3 per week,exclusively male
female,pisces,not at all,IAP
male,virgo,not at all,IAP
female,capricorn,2-3 per week,exclusively male
female,virgo,not at all,IAP
male,virgo,not at all,IAP
female,libra,2-3 per week,exclusively male
female,virgo,not at all,IAP
female,aquarius,not at all,IAP
female,virgo,not at all,IAP
female,capricorn,not at all,IAP
male,taurus,not at all,IAP
male,leo,weekly,exclusively female
male,NA,not at all,IAP
male,cancer,not at all,exclusively female
male,sagittarius,weekly,exclusively female
female,capricorn,not at all,IAP
female,libra,not at all,IAP
female,aries,not at all,IAP
female,cancer,weekly,exclusively male
male,pisces,not at all,IAP
female,aquarius,4+ per week,exclusively male
female,sagittarius,2-3 per week,exclusively male
female,aquarius,not at all,IAP
female,sagittarius,not at all,IAP
male,pisces,2-3 times a month,exclusively female
female,cancer,not at all,IAP
male,sagittarius,not at all,IAP
female,libra,2-3 per week,exclusively male
male,sagittarius,2-3 per week,exclusively female
female,sagittarius,not at all,exclusively male
male,pisces,4+ per week,exclusively female
female,aries,not at all,exclusively male
female,leo,not at all,IAP
male,aquarius,not at all,IAP
female,gemini,once a month,exclusively male
female,aries,2-3 times a month,exclusively male
male,capricorn,not at all,IAP
male,leo,not at all,IAP
female,libra,2-3 times a month,exclusively male
female,leo,not at all,IAP
female,libra,once a month,exclusively male
male,cancer,once a month,exclusively female
female,taurus,not at all,IAP
female,taurus,not at all,IAP
female,sagittarius,not at all,IAP
male,capricorn,once or twice,exclusively female
female,gemini,not at all,IAP
female,capricorn,once or twice,exclusively male
female,sagittarius,not at all,exclusively male
male,virgo,not at all,IAP
female,leo,2-3 per week,both male and female
male,taurus,not at all,IAP
male,pisces,once a month,exclusively female
female,libra,2-3 per week,exclusively male
male,leo,2-3 per week,exclusively female
female,cancer,not at all,IAP
male,aquarius,2-3 per week,exclusively female
female,gemini,not at all,exclusively male
male,scorpio,2-3 times a month,exclusively female
female,leo,2-3 per week,exclusively male
male,scorpio,once a month,exclusively female
male,taurus,once or twice,exclusively female
male,sagittarius,not at all,exclusively female
male,leo,2-3 times a month,exclusively female
female,taurus,4+ per week,exclusively male
female,pisces,2-3 per week,exclusively male
female,capricorn,not at all,IAP
male,cancer,once or twice,exclusively female
female,libra,2-3 per week,exclusively male
female,aquarius,2-3 per week,exclusively male
female,taurus,not at all,IAP
female,pisces,once a month,exclusively male
male,pisces,once a month,NA
female,aries,not at all,IAP
female,gemini,not at all,IAP
male,aquarius,not at all,IAP
male,aquarius,weekly,exclusively male
female,cancer,not at all,IAP
male,virgo,not at all,IAP
female,aquarius,2-3 times a month,exclusively male
male,cancer,not at all,IAP
female,capricorn,2-3 times a month,exclusively male
female,gemini,not at all,IAP
male,pisces,not at all,IAP
female,capricorn,weekly,exclusively male
male,gemini,not at all,IAP
male,sagittarius,not at all,exclusively female
male,virgo,2-3 per week,exclusively female
male,sagittarius,4+ per week,exclusively female
male,aries,not at all,exclusively female
female,pisces,not at all,IAP
female,aquarius,once or twice,exclusively male
male,gemini,2-3 times a month,exclusively female
male,cancer,once or twice,exclusively female
male,libra,2-3 per week,exclusively female
male,libra,not at all,IAP
male,gemini,2-3 per week,exclusively female
female,capricorn,2-3 times a month,exclusively male
male,pisces,2-3 times a month,exclusively female
female,cancer,once a month,exclusively male
male,scorpio,2-3 per week,exclusively female
male,libra,not at all,IAP
female,aries,not at all,IAP
female,pisces,not at all,IAP
female,pisces,not at all,IAP
male,NA,2-3 per week,exclusively female
female,leo,not at all,IAP
male,taurus,2-3 times a month,IAP
male,leo,4+ per week,exclusively female
male,pisces,not at all,IAP
male,scorpio,2-3 times a month,exclusively female
female,aries,once a month,exclusively male
female,taurus,not at all,exclusively male
female,leo,not at all,IAP
female,leo,not at all,IAP
female,aquarius,2-3 per week,exclusively male
female,virgo,not at all,exclusively male
male,gemini,not at all,IAP
female,cancer,not at all,IAP
female,cancer,once a month,exclusively male
female,libra,not at all,IAP
male,libra,not at all,IAP
female,cancer,not at all,IAP
female,capricorn,weekly,exclusively male
female,cancer,not at all,IAP
female,NA,not at all,IAP
male,cancer,not at all,IAP
female,virgo,not at all,IAP
male,capricorn,not at all,IAP
male,cancer,not at all,IAP
female,libra,not at all,IAP
male,pisces,weekly,exclusively female
male,pisces,not at all,IAP
male,aquarius,not at all,IAP
female,virgo,not at all,exclusively male
male,leo,not at all,IAP
female,sagittarius,once a month,exclusively male
male,NA,4+ per week,exclusively female
male,libra,not at all,IAP
female,gemini,2-3 times a month,exclusively male
male,taurus,not at all,IAP
female,virgo,not at all,IAP
female,scorpio,2-3 times a month,exclusively male
female,leo,2-3 per week,exclusively male
male,virgo,not at all,IAP
female,cancer,not at all,IAP
female,scorpio,not at all,IAP
female,NA,not at all,IAP
male,taurus,not at all,IAP
female,leo,not at all,IAP
male,sagittarius,not at all,IAP
male,virgo,once a month,exclusively female
female,virgo,not at all,IAP
female,gemini,2-3 per week,exclusively male
female,libra,not at all,IAP
female,aquarius,weekly,exclusively male
female,taurus,2-3 per week,exclusively male
female,capricorn,not at all,IAP
male,sagittarius,not at all,IAP
female,sagittarius,not at all,IAP
male,pisces,not at all,IAP
male,taurus,weekly,exclusively female
male,libra,4+ per week,exclusively female
male,cancer,not at all,IAP
male,libra,2-3 per week,exclusively female
male,pisces,2-3 per week,exclusively female
female,aquarius,not at all,IAP
female,sagittarius,not at all,IAP
female,leo,not at all,exclusively male
female,capricorn,not at all,IAP
female,aquarius,not at all,IAP
male,capricorn,not at all,IAP
male,cancer,not at all,IAP
female,leo,2-3 per week,exclusively male
male,sagittarius,not at all,IAP
male,capricorn,not at all,IAP
male,pisces,2-3 per week,exclusively female
male,taurus,4+ per week,exclusively female
male,gemini,2-3 times a month,exclusively female
female,aquarius,not at all,IAP
male,leo,not at all,IAP
female,virgo,not at all,IAP
female,virgo,2-3 times a month,exclusively male
female,gemini,not at all,IAP
female,aries,2-3 per week,exclusively male
female,virgo,not at all,IAP
female,pisces,4+ per week,exclusively male
female,libra,not at all,IAP
female,capricorn,not at all,IAP
male,cancer,2-3 per week,exclusively female
male,capricorn,2-3 times a month,exclusively female
female,virgo,not at all,IAP
female,NA,not at all,IAP
female,virgo,once a month,exclusively male
male,leo,once a month,exclusively female
female,libra,once a month,exclusively male
female,libra,not at all,IAP
female,scorpio,2-3 times a month,exclusively male
female,gemini,not at all,IAP
female,sagittarius,not at all,IAP
female,aries,once a month,exclusively male
female,libra,not at all,IAP
female,gemini,not at all,IAP
female,leo,once a month,exclusively male
female,capricorn,once a month,exclusively male
female,gemini,not at all,IAP
female,virgo,not at all,IAP
male,aquarius,not at all,exclusively female
male,libra,weekly,exclusively female
female,aries,2-3 times a month,exclusively male
female,scorpio,not at all,IAP
female,capricorn,not at all,IAP
male,virgo,weekly,exclusively female
female,taurus,not at all,IAP
female,taurus,4+ per week,exclusively male
male,aries,not at all,IAP
female,gemini,2-3 times a month,exclusively male
female,aquarius,not at all,IAP
female,aries,2-3 per week,exclusively male
female,aries,not at all,IAP
female,taurus,not at all,IAP
female,capricorn,not at all,IAP
female,cancer,not at all,IAP
female,leo,once a month,exclusively male
female,gemini,once a month,exclusively male
male,scorpio,not at all,IAP
male,aries,not at all,IAP
male,pisces,weekly,exclusively female
male,virgo,not at all,exclusively female
female,gemini,weekly,exclusively male
female,pisces,not at all,IAP
female,leo,not at all,IAP
male,leo,not at all,IAP
female,pisces,once a month,exclusively male
female,sagittarius,not at all,IAP
male,taurus,not at all,IAP
male,capricorn,not at all,IAP
male,cancer,4+ per week,exclusively female
male,cancer,not at all,exclusively female
male,cancer,2-3 per week,exclusively female
female,sagittarius,2-3 per week,exclusively male
female,NA,not at all,exclusively male
male,taurus,2-3 times a month,exclusively female
male,gemini,4+ per week,exclusively female
female,libra,not at all,IAP
male,leo,not at all,IAP
male,NA,not at all,IAP
male,libra,weekly,exclusively female
male,capricorn,2-3 per week,exclusively female
male,aquarius,not at all,IAP
male,pisces,not at all,IAP
female,sagittarius,weekly,both male and female
female,NA,2-3 times a month,exclusively male
female,pisces,not at all,IAP
male,sagittarius,4+ per week,exclusively female
male,capricorn,once a month,exclusively female
male,aries,once or twice,exclusively female
male,NA,not at all,IAP
female,libra,once a month,IAP
male,gemini,once or twice,exclusively female
male,pisces,not at all,IAP
male,pisces,not at all,IAP
male,sagittarius,once a month,exclusively female
female,sagittarius,2-3 per week,both male and female
female,aries,not at all,exclusively male
female,aquarius,2-3 times a month,exclusively male
female,pisces,2-3 times a month,exclusively male
male,virgo,not at all,exclusively female
female,gemini,once or twice,NA
male,leo,2-3 times a month,exclusively female
male,virgo,4+ per week,exclusively female
female,libra,4+ per week,exclusively male
male,aquarius,not at all,IAP
female,pisces,not at all,exclusively male
male,gemini,not at all,IAP
female,taurus,not at all,IAP
female,aquarius,2-3 per week,exclusively male
female,gemini,not at all,IAP
male,aries,not at all,IAP
male,gemini,once or twice,exclusively female
female,virgo,not at all,IAP
female,scorpio,2-3 per week,exclusively male
male,scorpio,once or twice,exclusively female
male,scorpio,not at all,NA
female,leo,not at all,NA
female,aquarius,2-3 per week,exclusively male
female,pisces,once a month,exclusively male
male,NA,not at all,IAP
male,NA,not at all,IAP
female,aries,once a month,both male and female
female,gemini,weekly,exclusively male
female,leo,not at all,IAP
male,gemini,4+ per week,exclusively female
female,NA,not at all,IAP
female,scorpio,once a month,exclusively male
male,cancer,weekly,exclusively male
male,cancer,not at all,IAP
male,aries,not at all,IAP
female,taurus,weekly,exclusively male
female,libra,not at all,IAP
male,NA,not at all,IAP
female,pisces,not at all,IAP
female,scorpio,not at all,IAP
male,libra,2-3 times a month,exclusively female
male,cancer,weekly,exclusively female
female,aquarius,4+ per week,exclusively male
male,sagittarius,not at all,IAP
female,libra,not at all,IAP
female,NA,4+ per week,NA
male,aquarius,4+ per week,exclusively female
female,capricorn,not at all,IAP
male,aries,once a month,exclusively female
female,sagittarius,not at all,IAP
male,sagittarius,not at all,IAP
male,capricorn,not at all,IAP
male,taurus,not at all,IAP
male,scorpio,not at all,IAP
male,virgo,not at all,IAP
male,leo,not at all,IAP
female,cancer,not at all,IAP
male,taurus,not at all,IAP
female,cancer,not at all,IAP
female,pisces,not at all,IAP
male,scorpio,not at all,IAP
female,sagittarius,not at all,IAP
male,sagittarius,not at all,exclusively female
female,gemini,2-3 per week,exclusively male
female,libra,not at all,exclusively female
female,scorpio,weekly,exclusively male
female,leo,weekly,both male and female
female,libra,2-3 times a month,exclusively male
male,NA,2-3 per week,exclusively female
male,aries,not at all,exclusively female
female,leo,not at all,IAP
male,pisces,2-3 per week,exclusively female
female,pisces,not at all,exclusively male
female,gemini,not at all,IAP
female,pisces,not at all,IAP
male,aries,not at all,IAP
male,virgo,not at all,IAP
female,capricorn,not at all,IAP
female,cancer,not at all,IAP
male,sagittarius,not at all,IAP
female,taurus,not at all,IAP
female,sagittarius,weekly,exclusively male
male,virgo,4+ per week,exclusively female
male,aries,not at all,exclusively female
male,taurus,2-3 per week,exclusively female
male,libra,once or twice,exclusively female
female,libra,not at all,IAP
male,sagittarius,not at all,IAP
male,gemini,not at all,IAP
male,scorpio,not at all,exclusively female
female,virgo,not at all,IAP
male,leo,weekly,exclusively female
male,scorpio,not at all,IAP
female,sagittarius,not at all,IAP
male,taurus,not at all,IAP
female,aquarius,once a month,IAP
male,aquarius,2-3 per week,exclusively female
male,cancer,not at all,IAP
male,pisces,2-3 times a month,exclusively female
male,pisces,not at all,exclusively female
male,gemini,not at all,IAP
female,libra,weekly,exclusively male
male,gemini,2-3 times a month,exclusively female
female,gemini,2-3 per week,exclusively male
female,scorpio,once a month,exclusively male
male,taurus,2-3 per week,exclusively female
female,cancer,not at all,IAP
female,libra,not at all,IAP
female,sagittarius,2-3 per week,exclusively female
female,aries,once a month,exclusively male
male,scorpio,4+ per week,exclusively female
female,virgo,2-3 times a month,exclusively male
female,cancer,not at all,exclusively male
female,pisces,once or twice,exclusively male
male,libra,not at all,exclusively female
female,libra,2-3 per week,exclusively male
male,gemini,2-3 times a month,exclusively female
female,capricorn,not at all,IAP
female,leo,not at all,IAP
female,sagittarius,not at all,IAP
female,sagittarius,once a month,exclusively male
male,gemini,2-3 times a month,exclusively female
male,scorpio,once or twice,exclusively female
female,capricorn,not at all,IAP
female,cancer,once a month,exclusively male
male,leo,not at all,exclusively female
female,aries,not at all,IAP
female,gemini,2-3 per week,exclusively male
female,gemini,2-3 times a month,exclusively male
female,virgo,not at all,IAP
male,sagittarius,not at all,IAP
male,libra,once a month,exclusively female
female,libra,once a month,exclusively male
female,gemini,2-3 times a month,exclusively male
male,aquarius,not at all,IAP
female,pisces,not at all,NA
female,taurus,not at all,IAP
male,cancer,2-3 times a month,exclusively female
female,pisces,2-3 per week,exclusively male
male,virgo,2-3 times a month,exclusively female
male,aries,not at all,IAP
male,taurus,not at all,IAP
male,scorpio,not at all,IAP
female,sagittarius,not at all,IAP
female,taurus,not at all,IAP
male,gemini,weekly,exclusively female
female,aries,weekly,exclusively male
female,virgo,not at all,IAP
male,aquarius,once a month,exclusively female
female,pisces,not at all,IAP
male,aries,once or twice,exclusively female
male,capricorn,2-3 per week,exclusively female
male,libra,not at all,IAP
male,capricorn,not at all,IAP
female,aries,not at all,IAP
male,taurus,not at all,IAP
female,pisces,2-3 times a month,exclusively male
female,scorpio,4+ per week,exclusively male
male,cancer,not at all,IAP
female,sagittarius,once a month,exclusively male
male,virgo,not at all,IAP
female,scorpio,not at all,IAP
male,pisces,not at all,IAP
female,scorpio,not at all,exclusively male
male,aquarius,not at all,IAP
male,aquarius,not at all,IAP
female,gemini,not at all,NA
female,libra,not at all,IAP
female,pisces,not at all,IAP
female,taurus,not at all,IAP
female,taurus,once a month,exclusively male
male,aquarius,2-3 per week,exclusively female
male,aquarius,not at all,exclusively female
female,taurus,weekly,exclusively male
male,gemini,not at all,IAP
male,leo,once a month,exclusively female
female,aries,once or twice,exclusively male
female,cancer,not at all,exclusively male
male,libra,2-3 per week,exclusively female
male,scorpio,weekly,exclusively female
female,aquarius,4+ per week,exclusively male
female,aquarius,not at all,exclusively male
female,aries,4+ per week,exclusively male
female,leo,not at all,exclusively male
male,scorpio,not at all,exclusively female
male,libra,4+ per week,exclusively female
female,capricorn,not at all,IAP
female,aries,not at all,IAP
female,leo,not at all,IAP
female,leo,not at all,IAP
male,aries,not at all,IAP
male,cancer,not at all,IAP
female,sagittarius,weekly,exclusively male
female,scorpio,not at all,IAP
female,scorpio,2-3 times a month,exclusively male
male,sagittarius,once or twice,exclusively female
female,virgo,2-3 per week,exclusively male
female,pisces,not at all,IAP
male,cancer,not at all,IAP
male,aquarius,once or twice,exclusively female
male,pisces,not at all,IAP
male,taurus,not at all,IAP
female,cancer,2-3 times a month,exclusively male
male,libra,not at all,exclusively female
female,taurus,not at all,IAP
female,virgo,not at all,exclusively male
male,pisces,once a month,exclusively female
female,taurus,not at all,IAP
female,scorpio,not at all,IAP
female,taurus,not at all,IAP
female,aquarius,weekly,exclusively male
male,NA,not at all,IAP
male,gemini,not at all,exclusively female
female,aries,not at all,IAP
male,leo,not at all,IAP
female,leo,not at all,exclusively male
female,leo,once a month,exclusively male
male,libra,once or twice,exclusively female
female,cancer,not at all,IAP
male,libra,not at all,IAP
female,pisces,2-3 times a month,exclusively male
female,aries,not at all,IAP
male,gemini,not at all,IAP
female,aquarius,2-3 times a month,exclusively male
female,virgo,weekly,exclusively male
female,aries,2-3 per week,exclusively male
male,cancer,not at all,IAP
female,scorpio,not at all,IAP
female,virgo,not at all,IAP
female,gemini,not at all,IAP
female,leo,not at all,IAP
female,taurus,not at all,IAP
male,aquarius,not at all,IAP
male,aries,not at all,exclusively female
female,cancer,not at all,IAP
female,scorpio,not at all,IAP
male,scorpio,not at all,IAP
female,aquarius,2-3 per week,exclusively male
female,virgo,2-3 per week,exclusively male
female,libra,not at all,IAP
male,leo,2-3 times a month,exclusively female
female,pisces,weekly,exclusively male
female,taurus,once a month,exclusively female
female,virgo,4+ per week,exclusively male
female,cancer,2-3 times a month,exclusively male
male,virgo,once or twice,exclusively female
male,scorpio,not at all,IAP
male,virgo,not at all,IAP
female,capricorn,once or twice,exclusively male
female,aquarius,not at all,IAP
male,libra,not at all,IAP
male,libra,2-3 times a month,exclusively female
female,libra,2-3 times a month,exclusively male
male,libra,weekly,exclusively female
female,NA,not at all,IAP
male,taurus,weekly,exclusively female
male,cancer,2-3 per week,exclusively female
female,leo,once a month,exclusively male
female,NA,not at all,IAP
female,virgo,2-3 times a month,exclusively male
male,gemini,once or twice,exclusively female
female,aquarius,2-3 times a month,exclusively male
male,aquarius,not at all,exclusively female
male,aries,2-3 times a month,exclusively female
female,aries,not at all,IAP
male,libra,not at all,exclusively female
female,libra,once a month,exclusively male
female,gemini,not at all,IAP
female,aquarius,2-3 times a month,exclusively male
female,leo,not at all,IAP
male,leo,not at all,exclusively female
female,scorpio,not at all,IAP
female,aries,2-3 times a month,both male and female
male,aries,not at all,IAP
male,gemini,not at all,IAP
female,virgo,not at all,exclusively male
female,scorpio,2-3 times a month,exclusively male
male,cancer,not at all,exclusively female
male,cancer,not at all,IAP
female,sagittarius,2-3 per week,exclusively male
male,scorpio,not at all,IAP
male,sagittarius,2-3 per week,exclusively female
male,NA,weekly,exclusively female
male,pisces,not at all,IAP
male,scorpio,not at all,IAP
male,aquarius,not at all,exclusively female
male,leo,2-3 times a month,exclusively female
male,capricorn,not at all,IAP
male,leo,not at all,IAP
male,leo,4+ per week,exclusively female
male,cancer,2-3 times a month,exclusively female
male,scorpio,2-3 per week,exclusively female
male,scorpio,weekly,exclusively female
male,aries,once a month,exclusively female
female,capricorn,not at all,IAP
male,scorpio,not at all,exclusively female
female,pisces,not at all,IAP
female,aquarius,not at all,IAP
female,cancer,not at all,IAP
male,gemini,not at all,IAP
male,scorpio,4+ per week,exclusively female
male,aquarius,not at all,IAP
male,cancer,not at all,IAP
female,aquarius,4+ per week,exclusively male
female,aquarius,not at all,IAP
male,sagittarius,not at all,IAP
female,libra,not at all,IAP
male,sagittarius,not at all,both male and female
male,sagittarius,not at all,IAP
female,leo,not at all,IAP
female,cancer,not at all,IAP
female,scorpio,2-3 times a month,exclusively male
female,NA,not at all,IAP
female,virgo,once or twice,exclusively male
female,capricorn,once or twice,exclusively male
female,pisces,not at all,IAP
female,capricorn,2-3 per week,exclusively male
female,capricorn,4+ per week,exclusively male
male,aquarius,2-3 times a month,exclusively female
female,virgo,not at all,IAP
male,gemini,weekly,exclusively female
female,gemini,2-3 per week,exclusively male
female,aries,weekly,exclusively male
male,scorpio,2-3 per week,exclusively female
male,leo,once a month,exclusively female
male,pisces,4+ per week,exclusively female
male,cancer,2-3 times a month,exclusively female
female,pisces,once a month,exclusively male
male,scorpio,2-3 per week,exclusively female
male,leo,2-3 per week,exclusively female
male,virgo,not at all,exclusively female
female,pisces,2-3 times a month,exclusively male
male,capricorn,once or twice,exclusively female
female,scorpio,2-3 per week,exclusively male
male,scorpio,weekly,exclusively female
female,sagittarius,not at all,IAP
male,cancer,not at all,exclusively male
female,gemini,not at all,IAP
male,virgo,2-3 per week,exclusively female
male,taurus,once or twice,exclusively male
male,cancer,not at all,IAP
male,gemini,not at all,IAP
female,libra,not at all,IAP
female,sagittarius,not at all,IAP
male,virgo,not at all,exclusively female
male,pisces,not at all,IAP
male,leo,not at all,IAP
male,aries,not at all,IAP
female,virgo,2-3 times a month,exclusively male
male,aquarius,not at all,IAP
male,aquarius,not at all,IAP
male,sagittarius,not at all,IAP
female,virgo,4+ per week,exclusively male
male,aries,2-3 per week,exclusively female
female,libra,not at all,IAP
male,virgo,not at all,IAP
male,gemini,weekly,exclusively female
female,gemini,not at all,IAP
female,sagittarius,4+ per week,exclusively male
female,aries,not at all,IAP
male,libra,not at all,IAP
male,gemini,not at all,IAP
female,virgo,not at all,IAP
female,capricorn,weekly,exclusively male
female,libra,not at all,IAP
male,virgo,not at all,IAP
male,aquarius,not at all,IAP
male,gemini,not at all,IAP
male,capricorn,not at all,IAP
female,gemini,once or twice,exclusively male
female,taurus,4+ per week,exclusively male
female,virgo,not at all,IAP
female,leo,not at all,IAP
female,taurus,not at all,IAP
female,leo,2-3 per week,exclusively male
female,gemini,2-3 times a month,exclusively male
male,scorpio,not at all,IAP
male,virgo,not at all,IAP
female,cancer,2-3 times a month,exclusively female
female,gemini,not at all,IAP
male,libra,not at all,IAP
female,leo,2-3 per week,exclusively male
female,NA,not at all,IAP
female,cancer,not at all,IAP
female,taurus,weekly,exclusively male
female,gemini,once a month,exclusively male
male,pisces,weekly,exclusively female
female,aquarius,weekly,exclusively male
male,cancer,2-3 per week,exclusively female
female,aries,2-3 times a month,exclusively male
female,aquarius,once a month,exclusively male
female,NA,not at all,IAP
male,cancer,not at all,IAP
female,capricorn,not at all,IAP
female,cancer,2-3 per week,exclusively male
female,aries,not at all,IAP
male,sagittarius,once a month,exclusively female
female,aries,weekly,both male and female
female,virgo,2-3 per week,exclusively male
male,gemini,not at all,exclusively female
female,pisces,not at all,IAP
male,libra,not at all,IAP
female,aries,not at all,IAP
female,pisces,not at all,IAP
female,cancer,once a month,exclusively male
female,aries,not at all,IAP
female,aries,not at all,exclusively male
female,aquarius,once a month,exclusively male
female,libra,not at all,IAP
female,aquarius,not at all,IAP
female,sagittarius,once a month,exclusively male
male,pisces,not at all,IAP
female,virgo,2-3 times a month,exclusively male
female,taurus,not at all,IAP
male,taurus,2-3 per week,exclusively female
male,gemini,weekly,exclusively female
male,sagittarius,2-3 times a month,exclusively female
male,aquarius,not at all,IAP
male,scorpio,DK,exclusively female
female,sagittarius,2-3 per week,exclusively male
male,aries,2-3 per week,exclusively female
male,pisces,not at all,IAP
male,pisces,2-3 per week,exclusively female
female,virgo,not at all,IAP
male,NA,not at all,IAP
female,aquarius,not at all,IAP
male,gemini,not at all,exclusively female
female,cancer,2-3 times a month,exclusively male
female,virgo,not at all,IAP
female,taurus,not at all,IAP
female,cancer,not at all,exclusively male
male,aquarius,not at all,IAP
male,pisces,weekly,exclusively female
male,leo,not at all,IAP
male,leo,not at all,exclusively female
female,capricorn,not at all,IAP
female,sagittarius,weekly,exclusively male
male,taurus,once or twice,exclusively female
female,pisces,not at all,exclusively male
female,libra,weekly,exclusively male
male,virgo,not at all,exclusively female
male,capricorn,not at all,IAP
female,cancer,once a month,exclusively male
female,cancer,not at all,IAP
male,gemini,not at all,IAP
male,gemini,2-3 times a month,exclusively female
female,sagittarius,2-3 per week,exclusively male
female,virgo,not at all,IAP
female,sagittarius,not at all,IAP
female,capricorn,not at all,exclusively male
female,scorpio,not at all,IAP
male,libra,4+ per week,exclusively female
female,gemini,not at all,IAP
female,taurus,2-3 per week,exclusively male
female,aquarius,not at all,IAP
